"PhysicalProcess","subClassOf","Process"
"PhysicalProcess","hasLocation","Location"
"- This seems odd – from the text (e.g.","changes in space charge distribution)","physical processes relate to material defects as products or waste; however it's not clearly inferable that a triple with object ""hasProduct"" and ""hasWaste"" should be used directly. Better to stick with hasDescription for such effects."
"Keyword","asString","xsd:string"
"PhysicalProcess","subClassOf","Process"
"PhysicalProcess","hasLocation","Location (not explicitly covered)"
"PhysicalProcess","hasProduct, hasWaste","Material"
"Description","asString","xsd:string"
"PhysicalProcess","hasPrerequisiteProcess","PhysicalProcess"
"PhysicalProcess","hasDescription","Description"
"PhysicalProcess","hasKeyword","Keyword"
"Keyword","asString","xsd:string"
