"XLPE","hasIdentifier","Identifier"
"silica","hasIdentifier","Identifier"
"nanoscale silica","hasComponent","silica"
"micron scale filler","hasComponent","silica"
"XLPE","hasProperty","dielectric strength"
"silica","hasProperty","dielectric strength"
"nanoscale silica","hasProperty","dielectric strength"
"micron scale filler","hasProperty","dielectric strength"
"nanoscale silica","hasPhysicalProcess","voltage endurance"
"micron scale filler","hasPhysicalProcess","voltage endurance"
"XLPE","hasPhysicalProcess","voltage endurance"
"nanoscale silica","hasKeyword","nanocomposite"
"XLPE","hasKeyword","polymer"
"silica","hasKeyword","filler"
"nanoscale silica","hasKeyword","interface"
"micron scale filler","hasKeyword","interface"
"XLPE","hasKeyword","dielectric"
