"XLPE","hasProperty","Dielectric Strength"
"XLPE","hasProperty","Voltage Endurance"
"Nanocomposite","hasProperty","Dielectric Strength"
"Nanocomposite","hasProperty","Voltage Endurance"
"Silica","hasComponent","Nanocomposite"
"Nanocomposite","hasRheometryCharacteristic","Scattering"
"MicronScaleFiller","hasComponent","Composite"
"Composite","hasProperty","Defect Size"
"Nanocomposite","hasRheometryCharacteristic","Disrupted Crystalline Structure"
"Nanocomposite","hasProperty","Mobility"
"Nanocomposite","hasProperty","Onset Field"
"Nanocomposite","hasProperty","Trap Depth"
"Nanocomposite","hasRheometryCharacteristic","Scattering"
"MicronScaleFiller","hasRheometryCharacteristic","Scattering"
"Nanocomposite","hasProperty","Defect Size"
"MicronScaleFiller","hasProperty","Defect Size"
"Nanocomposite","hasProperty","Mobility"
"MicronScaleFiller","hasProperty","Mobility"
"Nanocomposite","hasProperty","Onset Field"
"MicronScaleFiller","hasProperty","Onset Field"
"Nanocomposite","hasProperty","Trap Depth"
"MicronScaleFiller","hasProperty","Trap Depth"
"Nanocomposite","hasRheometryCharacteristic","Scattering"
"MicronScaleFiller","hasRheometryCharacteristic","Scattering"
"Nanocomposite","hasProperty","Defect Size"
"MicronScaleFiller","hasProperty","Defect Size"
"Nanocomposite","hasProperty","Mobility"
"MicronScaleFiller","hasProperty","Mobility"
"Nanocomposite","hasProperty","Onset Field"
"MicronScaleFiller","hasProperty","Onset Field"
"Nanocomposite","hasProperty","Trap Depth"
"MicronScaleFiller","hasProperty","Trap Depth"
"Silica","hasComponent","Nanocomposite"
"Nanocomposite","hasRheometryCharacteristic","Scattering"
"MicronScaleFiller","hasComponent","Composite"
"Composite","hasProperty","Defect Size"
"Nanocomposite","hasRheometryCharacteristic","Disrupted Crystalline Structure"
"Nanocomposite","hasProperty","Mobility"
"Nanocomposite","hasProperty","Onset Field"
"Nanocomposite","hasProperty","Trap Depth"
"Nanocomposite","hasRheometryCharacteristic","Scattering"
"MicronScaleFiller","hasRheometryCharacteristic","Scattering"
"Nanocomposite","hasProperty","Defect Size"
"MicronScaleFiller","hasProperty","Defect Size"
"Nanocomposite","hasProperty","Mobility"
"MicronScaleFiller","hasProperty","Mobility"
"Nanocomposite","hasProperty","Onset Field"
"MicronScaleFiller","hasProperty","Onset Field"
"Nanocomposite","hasProperty","Trap Depth"
"MicronScaleFiller","hasProperty","Trap Depth"
"Nanocomposite","hasRheometryCharacteristic","Scattering"
"MicronScaleFiller","hasRheometryCharacteristic","Scattering"
"Nanocomposite","hasProperty","Defect Size"
"MicronScaleFiller","hasProperty","Defect Size"
"Nanocomposite","hasProperty","Mobility"
"MicronScaleFiller","hasProperty","Mobility"
"Nanocomposite","hasProperty","Onset Field"
"MicronScaleFiller","hasProperty","Onset Field"
"Nanocomposite","hasProperty","Trap Depth"
"MicronScaleFiller","hasProperty","Trap Depth"
"Nanocomposite","hasRheometryCharacteristic","Scattering"
"MicronScaleFiller","hasRheometryCharacteristic","Scattering"
