"J Mater Sci (2007) 42:3789–3799","hasDOI","https://doi.org/10.1007/s10853-006-0413-0"
"Collection","hasReference","Reference,[1]"
"Collection","hasReference","Reference,[2]"
"Collection","hasReference","Reference,[3]"
"Collection","hasReference","Reference,[4]"
"Collection","hasReference","Reference,[5]"
"Collection","hasReference","Reference,[6]"
"Collection","hasReference","Reference,[7]"
"Collection","hasReference","Reference,[8]"
"Collection","hasReference","Reference,[9]"
"Collection","hasReference","Reference,[10]"
"Collection","hasReference","Reference,[11]"
"Collection","hasReference","Reference,[12]"
"Collection","hasReference","Reference,[13]"
"Collection","hasReference","Reference,[14]"
"Collection","hasReference","Reference,[15]"
"Collection","hasReference","Reference,[16]"
"Collection","hasReference","Reference,[17]"
"Collection","hasReference","Reference,[18]"
"Collection","hasReference","Reference,[19]"
"Collection","hasReference","Reference,[20]"
"Collection","hasReference","Reference,[21]"
"Collection","hasReference","Reference,[22]"
"Collection","hasReference","Reference,[23]"
"Collection","hasReference","Reference,[24]"
"Collection","hasReference","Reference,[25]"
"Collection","hasReference","Reference,[26]"
"Collection","hasReference","Reference,[27]"
"Collection","hasReference","Reference,[28]"
"Collection","hasReference","Reference,[29]"
"Collection","hasReference","Reference,[30]"
"Collection","hasReference","Reference,[31]"
