"Bruker ER 042 EPR spectrometer","hasName","Bruker ER 042 EPR spectrometer"
"Bruker ER 042 EPR spectrometer","hasVersion","unknown"
"Novocontrol Alpha Analyzer","hasName","Novocontrol Alpha Analyzer"
"Novocontrol Alpha Analyzer","hasVersion","type K"
"Perkin Elmer","hasName","Perkin Elmer"
"Perkin Elmer","hasVersion","Model # 5500"
"Auger Scan-2","hasName","Auger Scan-2"
"Auger Scan-2","hasVersion","unknown"
"Keithley 8009 Resistivity Test Fixture","hasName","Keithley 8009 Resistivity Test Fixture"
"Keithley 8009 Resistivity Test Fixture","hasVersion","unknown"
