"TensileModulus","isMeasuredUnderCondition","Conditions"
"CompressionStressAtBreak","subClassOf","Compression"
"ShearModulus","subClassOf","Shear"
"FiberTensileElongation","subClassOf","Tensile"
"CompressionStressAtYield","subClassOf","Compression"
"ElongationAtBreak","isMeasuredUnderCondition","Conditions"
"FlexuralToughness","subClassOf","Flexural"
"ShearStressAtBreak","isMeasuredUnderCondition","Conditions"
"TensileStressAtYield","isMeasuredUnderCondition","Conditions"
"Shear","isMeasuredUnderCondition","Preload"
"Flexural","isMeasuredUnderCondition","Preload"
"CompressionModulus","subClassOf","MechanicalProperty"
"Tensile","isMeasuredUnderCondition","Preload"
"Fracture","hasFractureCharacteristic","StrainRate"
"ElongationAtYield","isMeasuredUnderCondition","Conditions"
"ShearStressAtYield","subClassOf","Shear"
