"Micron Scale silica","subClassOf","Compression"
"Nanoscale silica","subClassOf","Compression"
"Untreated nanosilica","subClassOf","Nanoscale silica"
"AEAPS treated nanosilica","subClassOf","Untreated nanosilica"
"HMDS treated nanosilica","subClassOf","Untreated nanosilica"
"TES treated nanosilica","subClassOf","Untreated nanosilica"
"XLPE","hasSampleShape","SampleShape"
"TensileModulus","isMeasuredUnderCondition","Conditions"
"CompressionStressAtBreak","subClassOf","MechanicalProperty"
"FiberTensileElongation","subClassOf","Tensile"
"ShearModulus","subClassOf","Shear"
"FiberTensileStrength","subClassOf","Tensile"
"CompressionModulus","subClassOf","Compression"
"FlexuralModulus","subClassOf","Flexural"
"IZODImpactEnergy","subClassOf","Impact"
"Notch","subClassOf","MechanicalProperty"
"JIntegral","subClassOf","MechanicalProperty"
"PlasticElastic","hasJIntegral","JIntegral"
"ShearStressAtBreak","subClassOf","MechanicalProperty"
"TestStandard","subClassOf","MechanicalProperty"
"CharpyImpactEnergy","subClassOf","Impact"
"FiberTensileModulus","subClassOf","Tensile"
"PoissonRatio","subClassOf","MechanicalProperty"
"CompressionStressAtYield","subClassOf","Compression"
"SampleShape","subClassOf","MechanicalProperty"
"Tensile","isMeasuredUnderCondition","Conditions"
"TensileStressAtBreak","subClassOf","Tensile"
"Shear","isMeasuredUnderCondition","StrainRate"
"FlexuralStressAtYield","subClassOf","MechanicalProperty"
"ImpactToughness","subClassOf","Impact"
"ElongationAtBreak","subClassOf","Tensile"
"PhysicalProperty","subClassOf","Property"
"TensileModulus","subClassOf","MechanicalProperty"
"Compression","isMeasuredUnderCondition","Preload"
"CompressiveTougness","subClassOf","Compression"
"IZODImpactEnergy","subClassOf","Impact"
"LinearElastic","hasKFactor","KFactor"
"Tensile","isMeasuredUnderCondition","StrainRate"
"CompressiveTougness","isMeasuredUnderCondition","Conditions"
