"Material","hasIdentifier","Identifier"
"Silica","nanoparticles","Nanocomposites"
"Material","hasComponent, hasParentMaterial","Polyethylene"
"NodeWithAttributes","Triethoxyvinylsilane","Nanocomposites"
"NodeWithAttributes","N-(2-aminoethyl) 3-aminopropyltrimethoxysilane","Nanocomposites"
"NodeWithAttributes","Hexamethyldisilazane","Nanocomposites"
"Material","hasComputationForcefield","Dielectric spectroscopy"
"Material","subClassOf","Nanocomposites"
"Property","Permittivity","Nanocomposites"
"Property","Dielectric strength","Nanocomposites"
