"TensileModulus","isMeasuredUnderCondition","Conditions"
"ShearModulus","subClassOf","Shear"
"FiberTensileElongation","subClassOf","Tensile"
"StrainRate","subClassOf","FractureCharacteristic"
"Preload","subClassOf","Condition"
"TensileStressAtYield","subClassOf","Tensile"
"ShearStressAtBreak","isMeasuredUnderCondition","Conditions"
"ImpactToughness","subClassOf","Impact"
"ElongationAtBreak","subClassOf","MechanicalProperty"
"PoissonRatio","subClassOf","Tensile"
"CompressionStressAtBreak","subClassOf","Compression"
"FlexuralStressAtYield","isMeasuredUnderCondition","Conditions"
"FiberTensileStrength","subClassOf","MechanicalProperty"
"ShearModulus","isMeasuredUnderCondition","Conditions"
"Fracture","hasFractureCharacteristic","PrecrackingProcess"
"TensileStressAtBreak","subClassOf","Tensile"
"Notch","subClassOf","Impact"
"LinearElastic","subClassOf","Fracture"
"Tensile","subClassOf","MechanicalProperty"
"FlexuralModulus","isMeasuredUnderCondition","Conditions"
"Scale","subClassOf","Hardness"
"StrainRate","subClassOf","MechanicalProperty"
"CompressiveTougness","subClassOf","Compression"
"IZODArea","subClassOf","Impact"
"LinearElastic","hasSampleShape","SampleShape"
"FlexuralToughness","subClassOf","Flexural"
"FiberTensileModulus","isMeasuredUnderCondition","Conditions"
"ShearStressAtBreak","subClassOf","Shear"
"Fracture","hasFractureCharacteristic","StrainRate"
"ElongationAtYield","subClassOf","Tensile"
