"2. PhysicalProcess","subClassOf","Process -> Process"
"* Description","asString","xsd:string -> The incorporation of silica nanoparticles into polyethylene has been shown to increase the breakdown strength significantly compared to composites with micron scale fillers."
"1. Keyword","asString","xsd:string -> nanocomposite"
"2. Keyword","asString","xsd:string -> dielectric properties"
"3. Keyword","asString","xsd:string -> electrical behavior"
"4. Keyword","asString","xsd:string -> silica nanoparticles"
"5. Keyword","asString","xsd:string -> XLPE"
"2. Equipment","hasKeyword","Keyword -> nanotechnology"
"PhysicalProcess","hasLocation","Troy, NY 12180, USA"
"PhysicalProcess","subClassOf","Process"
"Description","asString","The incorporation of silica nanoparticles into polyethylene has been shown to increase the breakdown strength significantly compared to composites with micron scale fillers."
"Keyword","asString","nanocomposite"
"Keyword","asString","dielectric properties"
"Keyword","asString","electrical behavior"
"Keyword","asString","silica nanoparticles"
"Keyword","asString","XLPE"
"Equipment","hasEquipment","scanning electron microscope"
"Equipment","hasEquipment","X-ray photoelectron spectroscopy (XPS) instrument"
"Equipment","hasEquipment","dielectric spectroscopy equipment"
"Equipment","hasEquipment","thermally stimulated current (TSC) equipment"
"Equipment","hasKeyword","nanotechnology"
