"incorporation of silica nanoparticles into polyethylene","subClassOf","Process"
"incorporation of silica nanoparticles into polyethylene","hasLocation","scanning electron microscopy"
"incorporation of silica nanoparticles into polyethylene","hasProduct","untreated nanosilica"
"incorporation of silica nanoparticles into polyethylene","hasProduct","commercially surface-modified triethoxyvinylsilane (TES) nanosilica"
"incorporation of silica nanoparticles into polyethylene","hasProduct","commercially surface-modified n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS) nanosilica"
"incorporation of silica nanoparticles into polyethylene","hasProduct","commercially surface-modified hexamethyldisilazane (HMDS) nanosilica"
"incorporation of silica nanoparticles into polyethylene","hasWaste","untreated nanosilica"
"incorporation of silica nanoparticles into polyethylene","hasWaste","commercially surface-modified triethoxyvinylsilane (TES) nanosilica"
"incorporation of silica nanoparticles into polyethylene","hasWaste","commercially surface-modified n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS) nanosilica"
"incorporation of silica nanoparticles into polyethylene","hasWaste","commercially surface-modified hexamethyldisilazane (HMDS) nanosilica"
"incorporation of silica nanoparticles into polyethylene","hasDescription","This paper compares the behavior of nanoscale silica/cross-linked low density polyethylene nanocomposites with several silica surface treatments."
"incorporation of silica nanoparticles into polyethylene","hasKeyword","The promise of unique electrical properties due to the mechanisms just described provides an incentive for investigating the dielectric properties of nano-filled materials."
"incorporation of silica nanoparticles into polyethylene","hasEquipment","Electron Paramagnetic Resonance (EPR) spectra"
"incorporation of silica nanoparticles into polyethylene","hasEquipment","X-ray Photoelectron Spectroscopy (XPS)"
"incorporation of silica nanoparticles into polyethylene","hasPrerequisiteProcess","samples were post-cured under vacuum"
"samples were post-cured under vacuum","hasDescription","The samples were post-cured under vacuum which is important since cross-linking byproducts may otherwise affect the electrical properties."
"samples were post-cured under vacuum","hasKeyword","The DC breakdown strength was measured using recessed specimens with gold electrodes."
"samples were post-cured under vacuum","hasKeyword","Long-term voltage endurance tests were carried out using cylindrical blocks of polymer or polymer nanocomposites, embedded with a tungsten electrode of tip radius, r, of approximately 4 lm (for a highly divergent field) and 12 lm (for a less divergent field), with an inter-electrode distance, d, of 2 mm."
"The DC breakdown strength was measured using recessed specimens with gold electrodes","asString","The DC breakdown strength was measured using recessed specimens with gold electrodes"
"Long-term voltage endurance tests were carried out using cylindrical blocks of polymer or polymer nanocomposites, embedded with a tungsten electrode of tip radius, r, of approximately 4 lm (for a highly divergent field) and 12 lm (for a less divergent field), with an inter-electrode distance, d, of 2 mm.","asString","Long-term voltage endurance tests were carried out using cylindrical blocks of polymer or polymer nanocomposites, embedded with a tungsten electrode of tip radius, r, of approximately 4 lm (for a highly divergent field) and 12 lm (for a less divergent field), with an inter-electrode distance, d, of 2 mm."
"The promise of unique electrical properties due to the mechanisms just described provides an incentive for investigating the dielectric properties of nano-filled materials.","asString","The promise of unique electrical properties due to the mechanisms just described provides an incentive for investigating the dielectric properties of nano-filled materials."
"This paper compares the behavior of nanoscale silica/cross-linked low density polyethylene nanocomposites with several silica surface treatments.","asString","This paper compares the behavior of nanoscale silica/cross-linked low density polyethylene nanocomposites with several silica surface treatments."
"It was found that a reduction in the mobility in nanocomposites as well as a change in the defect size may be key to explaining the improvement in the properties.","asString","It was found that a reduction in the mobility in nanocomposites as well as a change in the defect size may be key to explaining the improvement in the properties."
