"Process","hasIngredient","Ingredient"
"Process","hasCondition","Condition"
"Process","hasType","Type"
"PhysicalProcess","subClassOf","Process"
"Type","asString","xsd:string"
"ComputationalProcess","subClassOf","Process"
"Process","subClassOf","NodeWithAttributes"
"Process","hasCitation","Citation"
"Process","hasProperty","Property"
"Process","hasExperiment","Experiment"
"The incorporation of silica nanoparticles into polyethylene","hasIngredient","silica nanoparticles"
"The incorporation of silica nanoparticles into polyethylene","hasIngredient","polyethylene"
"The incorporation of silica nanoparticles into polyethylene","hasCondition","micron scale fillers"
"The incorporation of silica nanoparticles into polyethylene","hasCondition","nano-scale fillers"
"The incorporation of silica nanoparticles into polyethylene","hasProperty","breakdown strength"
"The incorporation of silica nanoparticles into polyethylene","hasProperty","voltage endurance"
"The incorporation of silica nanoparticles into polyethylene","hasExperiment","dielectric spectroscopy"
"The incorporation of silica nanoparticles into polyethylene","hasExperiment","absorption current measurements"
"The incorporation of silica nanoparticles into polyethylene","hasExperiment","thermally stimulated current determinations (TSC)"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasIngredient","micron-scale particulates"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasIngredient","nanoscale particulates"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasIngredient","antioxidants"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasIngredient","dicumyl peroxide (DCP)"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasIngredient","triethoxyvinylsilane (TES)"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasIngredient","n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasIngredient","hexamethyldisilazane (HMDS)"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasCondition","temperatures above the compounding temperature"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasProperty","covalent bonding"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasExperiment","scanning electron microscopy"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasExperiment","vacuum drying"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasExperiment","hot pressing"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasExperiment","post-curing under vacuum"
"Polyethylene–SiO2 composites were formulated using micron and nanoscale particulates","hasExperiment","metallized with 150 A [˚ ] of sputtered gold"
"Electron Paramagnetic Resonance (EPR) spectra were used to detect differences in the particle defect density as a function of surface treatment and composite compounding","hasExperiment","scanning electron microscopy"
"Electron Paramagnetic Resonance (EPR) spectra were used to detect differences in the particle defect density as a function of surface treatment and composite compounding","hasIngredient","Bruker ER 042 EPR spectrometer"
"Electron Paramagnetic Resonance (EPR) spectra were used to detect differences in the particle defect density as a function of surface treatment and composite compounding","hasIngredient","Walker Hall probe Tesla meter"
"Electron Paramagnetic Resonance (EPR) spectra were used to detect differences in the particle defect density as a function of surface treatment and composite compounding","hasIngredient","diphenyl picryl hydrazyl (dpph)"
"The DC breakdown strength was measured using recessed specimens with gold electrodes","hasIngredient","recessed specimens with gold electrodes"
"The DC breakdown strength was measured using recessed specimens with gold electrodes","hasExperiment","2-parameter Weibull distribution"
"The DC breakdown strength was measured using recessed specimens with gold electrodes","hasExperiment","high-voltage source with a ramp rate of 500 V s [–1]"
"The DC breakdown strength was measured using recessed specimens with gold electrodes","hasProperty","breakdown strength"
"The DC breakdown strength was measured using recessed specimens with gold electrodes","hasProperty","cumulative failure probability of 63.2%"
"The DC breakdown strength was measured using recessed specimens with gold electrodes","hasCondition","temperatures (25 �C, 60 �C, 70 �C, and 80 �C)"
"The superior performance of the nanofilled material over the base resin is best demonstrated by a voltage endurance test","hasExperiment","voltage endurance test"
"The superior performance of the nanofilled material over the base resin is best demonstrated by a voltage endurance test","hasProperty","time to failure"
