"Polyethylene–SiO2 composites","hasSamplePreparation","melt mixing"
"Polyethylene–SiO2 composites","hasSamplePreparation","post-curing"
"EPR spectra","hasComputation","EPR spectra analysis"
"TSC measurements","hasComputation","space charge measurements"
"XPS analysis","hasComputation","XPS analysis"
"XLPE","subClassOf","NodeWithAttributes"
"Data has interfacial chemistry with SiO2 nanoparticles","havingType","polymer interface"
"Polyethylene–SiO2 composites","hasComputationalProcess","EPR spectra analysis"
"Polyethylene–SiO2 composites","hasFile","EPR spectra"
"Polyethylene–SiO2 composites","hasExperiment","DC breakdown strength measurement"
"Polyethylene–SiO2 composites","hasExperiment","voltage endurance test"
