"1. `Silica nanoparticles","subClassOf","Filler Properties`"
"2. `Polyethylene","subClassOf","Matrix and Filler Properties`"
"3. `Triethoxyvinylsilane (TES)","hasQuantity","Non-polar`"
"4. `n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)","hasQuantity","Polar`"
"5. `Hexamethyldisilazane (HMDS)","hasQuantity","Polar`"
"6. `Polyethylene","subClassOf","Cross-linked Low Density Polyethylene`"
"7. `Silica nanoparticles","hasQuantity","5 wt%`"
"8. `Triethoxyvinylsilane (TES)","subClassOf","Vinylsilane Treatment`"
"9. `n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)","subClassOf","Surface Modifier Group`"
"10. `Hexamethyldisilazane (HMDS)","subClassOf","Surface Modifier Group`"
"11. `Triethoxyvinylsilane (TES)","subClassOf","Covalent Bonding with XLPE`"
"12. `Polyethylene cross-linking agent","hasQuantity","Dicumyl Peroxide`"
"13. `Breakdown strength of nanocomposites","hasQuantity","Increased`"
"14. `Voltage endurance of nanocomposites","hasQuantity","Two orders of magnitude higher`"
