"1. **Experiment","hasLocation","Location**"
"- Triple: `BreakdownStrengthMeasurement","hasLocation","Laboratory`"
"2. **DifferentialScanningCalorimetry","hasCalorimetryCharacteristic","CoolingRate**"
"3. **Rheometry","hasRheometryCharacteristic","CapillarySize**"
"4. **TransmissionElectronMicroscopy","hasMicrscopyCharacteristic","Magnification**"
"5. **Collection","hasDOI","xsd:anyURI**"
"- Triple: `PolymerSciJournal2007","hasDOI","https://doi.org/10.1007/s10853-006-0413-0`"
"6. **Reference","hasAuthor","Author**"
"- Triple: `DOI10.1007/s10853-006-0413-0","hasAuthor","Mihir Roy`"
"- Triple: `DOI10.1007/s10853-006-0413-0","hasAuthor","J. Keith Nelson`"
"- Triple: `DOI10.1007/s10853-006-0413-0","hasAuthor","R.K. MacCrone`"
"- Triple: `DOI10.1007/s10853-006-0413-0","hasAuthor","L.S. Schadler`"
"7. **Material","hasComponent","Material**"
"- Triple: `PolymerComposite","hasComponent","Cross-linked Low-Density Polyethylene`"
"- Triple: `PolymerComposite","hasComponent","Silica Nanoparticles`"
"8. **Data","hasSamplePreparation","PhysicalProcess**"
"- Triple: `XLPE_Samples","hasSamplePreparation","Post-Cure Under Vacuum`"
"9. **CharacterizationMethod","hasResultData","ResultData**"
"- Triple: `SEM_Characterization","hasResultData","SEM_Results_Char22.csv`"
"10. **FiberTensileStrength","isMeasuredUnderCondition","Conditions**"
"11. **TensileModulus","isMeasuredUnderCondition","Conditions**"
"12. **Material","hasProperty","SpecificSurfaceArea**"
"- Triple: `SilicaNanoparticles","hasProperty","Approximately 1:1 Ratio with Silicon`"
"13. **Additive","hasQuantity","Quantity**"
"- Triple: `PolymerComposite","hasQuantity","5 wt% Nanoparticles`"
