subject,predicate,object
Experiment,subClassOf,NodeWithAttributes
Funding,asString,xsd:string
Experiment,hasData,Data
Experiment,hasCollection,Collection
Experiment,hasProcess,Process
Experiment,hasFunding,Funding
Experiment,hasLocation,Location
Experiment,hasEnvironment,Environment
Experiment,hasCitation,Citation
Experiment,hasComputation,Computation
Collection,subClassOf,NodeWithAttributes
Collection,hasExperiment,Experiment
Collection,hasProject,Project
Collection,hasDOI,xsd:anyURI
Collection,hasCitation,Citation
Collection,hasInventory,Inventory
Process,hasIngredient,Ingredient
Process,hasCondition,Condition
Process,hasType,Type
PhysicalProcess,subClassOf,Process
Type,asString,xsd:string
ComputationalProcess,subClassOf,Process
Process,subClassOf,NodeWithAttributes
Process,hasCitation,Citation
Process,hasProperty,Property
Process,hasExperiment,Experiment
Software,hasVersion,xsd:string
Source,asString,xsd:string
Software,hasName,xsd:string
Software,hasSource,Source
Software,subClassOf,Node
CoolingRate,subClassOf,Property
Magnification,subClassOf,Property
DifferentialScanningCalorimetry,subClassOf,ThermochemicalMethod
FourierTransformInfraredSpectroscopy,subClassOf,Spectroscopy
DynamicMechanicalAnalysis,subClassOf,ThermochemicalMethod
DifferentialScanningCalorimetry,hasCalorimetryCharacteristic,CycleInformation
ThermogravimetricAnalysis,subClassOf,ThermochemicalMethod
ScanningElectronMicroscopy,hasMicrscopyCharacteristic,EmissionCurrent
ScanningElectronMicroscopy,subClassOf,Microscopy
PhysicalProcess,hasProperty,Property
PulsedElectroAcoustic,subClassOf,CharacterizationMethod
DielectricAndImpedanceSpectroscopyAnalysis,subClassOf,Spectroscopy
EmissionCurrent,subClassOf,Property
TransmissionElectronMicroscopy,hasMicrscopyCharacteristic,Magnification
AtomicForceMicroscopy,subClassOf,CharacterizationMethod
ScanningElectronMicroscopy,hasMicrscopyCharacteristic,AcceleratingVoltage
RheometryCharacteristic,subClassOf,Property
FourierTransformInfraredSpectroscopy,subClassOf,CharacterizationMethod
Electrometry,subClassOf,CharacterizationMethod
CharacterizationMethod,hasEquipment,Equipment
CapillarySize,subClassOf,Property
RamanSpectroscopy,subClassOf,CharacterizationMethod
DielectricAndImpedanceSpectroscopyAnalysis,subClassOf,CharacterizationMethod
CoolingRate,subClassOf,CalorimetryCharacteristic
HeatingRate,subClassOf,Property
ScanningElectronMicroscopy,hasMicrscopyCharacteristic,WorkingDistance
TransmissionElectronMicroscopy,subClassOf,Microscopy
ScanningElectronMicroscopy,hasMicrscopyCharacteristic,Magnification
AcceleratingVoltage,subClassOf,MicroscopyCharacteristic
CycleInformation,subClassOf,Property
RamanSpectroscopy,subClassOf,Spectroscopy
WorkingDistance,subClassOf,Property
TransmissionElectronMicroscopy,hasMicrscopyCharacteristic,MicroscopyCharacteristic
Spectroscopy,subClassOf,CharacterizationMethod
Magnification,subClassOf,MicroscopyCharacteristic
Rheometry,hasRheometryCharacteristic,CapillarySize
Rheometry,hasRheometryCharacteristic,RheometerType
Equipment,hasEquipmentDescription,EquipmentDescription
TransmissionElectronMicroscopy,hasMicrscopyCharacteristic,ExposureTime
CapillarySize,subClassOf,RheometryCharacteristic
DifferentialScanningCalorimetry,hasCalorimetryCharacteristic,CoolingRate
Rheometry,hasRheometryCharacteristic,RheometryCharacteristic
ExposureTime,subClassOf,Property
XrayPhotonelectronSpectroscopy,subClassOf,CharacterizationMethod
OpticalMicroscopy,subClassOf,Microscopy
MicroscopyCharacteristic,subClassOf,Property
DynamicMechanicalAnalysis,subClassOf,CharacterizationMethod
RheometerType,subClassOf,RheometryCharacteristic
EmissionCurrent,subClassOf,MicroscopyCharacteristic
ThermogravimetricAnalysis,subClassOf,CharacterizationMethod
XrayPhotonelectronSpectroscopy,subClassOf,Spectroscopy
CalorimetryCharacteristic,subClassOf,Property
TransmissionElectronMicroscopy,subClassOf,CharacterizationMethod
XrayDiffractionAndScattering,subClassOf,CharacterizationMethod
TransmissionElectronMicroscopy,hasMicrscopyCharacteristic,EmissionCurrent
ScanningElectronMicroscopy,subClassOf,CharacterizationMethod
RheometerType,subClassOf,Property
NuclearMagneticResonance,subClassOf,CharacterizationMethod
HeatingRate,subClassOf,CalorimetryCharacteristic
CharacterizationMethod,subClassOf,PhysicalProcess
CharacterizationMethod,hasResultData,ResultData
CycleInformation,subClassOf,CalorimetryCharacteristic
Microscopy,subClassOf,CharacterizationMethod
NuclearMagneticResonance,subClassOf,Spectroscopy
DifferentialScanningCalorimetry,hasCalorimetryCharacteristic,HeatingRate
ThermochemicalMethod,subClassOf,CharacterizationMethod
TransmissionElectronMicroscopy,hasMicrscopyCharacteristic,AcceleratingVoltage
DifferentialScanningCalorimetry,subClassOf,CharacterizationMethod
OpticalMicroscopy,subClassOf,CharacterizationMethod
DifferentialScanningCalorimetry,hasCalorimetryCharacteristic,CalorimetryCharacteristic
WorkingDistance,subClassOf,MicroscopyCharacteristic
TransmissionElectronMicroscopy,hasMicrscopyCharacteristic,WorkingDistance
AcceleratingVoltage,subClassOf,Property
ScanningElectronMicroscopy,hasMicrscopyCharacteristic,MicroscopyCharacteristic
ScanningElectronMicroscopy,hasMicrscopyCharacteristic,ExposureTime
Rheometry,subClassOf,CharacterizationMethod
AtomicForceMicroscopy,subClassOf,Microscopy
ExposureTime,subClassOf,MicroscopyCharacteristic
CrystalPhase,subClassOf,FillerProperties
